time,FR,ES,PT,GB,IT
2000-10-15,0.156064,0.269779,0.109415,0.237888,0.273951
2000-10-16,0.287612,0.211901,0.184455,0.297110,0.124150
2000-10-17,0.128476,0.094854,0.073764,0.501499,0.118231
2000-10-18,0.285426,0.198664,0.145882,0.497829,0.089137
2000-10-19,0.126054,0.125645,0.074650,0.300817,0.064320
2000-10-20,0.343343,0.358073,0.526092,0.391534,0.048678
2000-10-21,0.289830,0.248123,0.380601,0.198858,0.125251
2000-10-22,0.248181,0.321568,0.185468,0.394851,0.128327
2000-10-23,0.320715,0.303626,0.288697,0.650027,0.093254
2000-10-24,0.202507,0.367216,0.257963,0.601717,0.084384
2000-10-25,0.358057,0.101654,0.132441,0.797429,0.088464
2000-10-26,0.212171,0.067362,0.057439,0.538188,0.077220
2000-10-27,0.340167,0.103268,0.040599,0.491421,0.064085
2000-10-28,0.501182,0.307777,0.237076,0.641702,0.039071
2000-10-29,0.670064,0.159105,0.229270,0.831987,0.053479
2000-10-30,0.759117,0.510546,0.472690,0.525525,0.175759
2000-10-31,0.578804,0.453601,0.299786,0.531598,0.351540
2000-11-01,0.522409,0.344249,0.339601,0.458353,0.272056
2000-11-02,0.550196,0.532286,0.656672,0.432856,0.179727
2000-11-03,0.321404,0.531608,0.419411,0.392781,0.443048
2000-11-04,0.189765,0.306281,0.177116,0.315426,0.349703
2000-11-05,0.506225,0.632178,0.813599,0.394558,0.125501
2000-11-06,0.687965,0.916594,0.917646,0.672421,0.491171
2000-11-07,0.576707,0.700473,0.605035,0.583407,0.619235
2000-11-08,0.387126,0.469434,0.217449,0.596311,0.331775
2000-11-09,0.291083,0.245566,0.072409,0.367245,0.218201
2000-11-10,0.230774,0.175023,0.197201,0.339170,0.067932
2000-11-11,0.490676,0.306385,0.151044,0.551910,0.087229
2000-11-12,0.554919,0.491106,0.517537,0.462660,0.171034
2000-11-13,0.168984,0.348073,0.213410,0.263426,0.378262
2000-11-14,0.187086,0.141554,0.116495,0.154917,0.382260
2000-11-15,0.269090,0.156801,0.236078,0.292065,0.265558
2000-11-16,0.358609,0.353616,0.236070,0.392188,0.373104
2000-11-17,0.241989,0.409277,0.228292,0.388336,0.390168
2000-11-18,0.316873,0.299161,0.118997,0.470408,0.193886
2000-11-19,0.460939,0.288313,0.126064,0.465857,0.433050
2000-11-20,0.324523,0.414101,0.311452,0.157077,0.319659
2000-11-21,0.500350,0.454611,0.447034,0.297917,0.351886
2000-11-22,0.461432,0.487452,0.633522,0.533997,0.138936
2000-11-23,0.354068,0.615615,0.452583,0.218249,0.127376
2000-11-24,0.232164,0.425696,0.420497,0.320664,0.344248
2000-11-25,0.486073,0.551959,0.481928,0.616455,0.285724
2000-11-26,0.580623,0.527560,0.444338,0.610325,0.488479
2000-11-27,0.305118,0.476230,0.462084,0.375792,0.630732
2000-11-28,0.458551,0.483208,0.845814,0.541261,0.371819
2000-11-29,0.412205,0.432028,0.402134,0.763416,0.085082
2000-11-30,0.305921,0.458089,0.851400,0.592350,0.054587
2000-12-01,0.594324,0.470780,0.597624,0.637058,0.017186
2000-12-02,0.280711,0.409176,0.320575,0.703768,0.064392
2000-12-03,0.275414,0.347835,0.455361,0.491821,0.164083
2000-12-04,0.462705,0.421024,0.710444,0.782674,0.130734
2000-12-05,0.542650,0.487941,0.780833,0.706845,0.081786
2000-12-06,0.402481,0.442062,0.579276,0.557367,0.036358
2000-12-07,0.652406,0.763266,0.784709,0.386406,0.103634
2000-12-08,0.619159,0.411888,0.348476,0.705622,0.192597
2000-12-09,0.437336,0.472289,0.448039,0.718102,0.171541
2000-12-10,0.667253,0.384965,0.453184,0.608638,0.181574
2000-12-11,0.537636,0.346810,0.297757,0.577989,0.123564
2000-12-12,0.564890,0.429691,0.444541,0.695769,0.075752
2000-12-13,0.697216,0.221321,0.216257,0.843929,0.173502
2000-12-14,0.409715,0.391008,0.247131,0.572330,0.234117
2000-12-15,0.314705,0.328892,0.170519,0.321941,0.479123
2000-12-16,0.207975,0.158245,0.074023,0.092798,0.338559
2000-12-17,0.115433,0.243343,0.282302,0.129389,0.249703
